101| 1| 9
101| 2| 8
101| 3| 7
101| 4| 6
101| 5| 5
101| 6| 9
101| 7| 5
101| 8| 8
101| 9| 6
102| 1| 8
102| 2| 7
102| 3| 9
102| 4| 6
102| 5| 8
102| 6| 8
102| 7| 9
102| 8| 5
102| 9| 7
102| 10| 8
101| 10| 7
103| 1| 7
103| 2| 9
103| 3| 8
103| 4| 6
103| 5| 5
103| 6| 8
103| 7| 9
103| 8| 8
103| 9| 6
103| 10| 7
104| 1| 8
104| 2| 9
104| 3| 6
104| 4| 9
104| 5| 8
104| 6| 7
104| 7| 6
104| 8| 8
104| 9| 6
104| 10| 8
105| 1| 8
105| 2| 9
105| 3| 6
105| 4| 7
105| 5| 8
105| 6| 6
105| 7| 9
105| 8| 7
105| 9| 9
105| 10| 8
